aet	0.28	43.34	43.19	0.12	3320502.0	43.41	42.74	43.22	46.01	26.42	3.795E8	9.94		1.39	0.6	4.36	
aig	0.48	29.09	28.98	0.14	4608579.0	29.1	28.73	28.95	62.87	27.05			5.227E10				
agx	1.92	11.23	11.44	-0.22	6818.0	11.96	11.18	11.45	11.96	7.4	1.3602E7		1.5275E8			0.46	
ipi	1.72	34.21	33.56	0.58	611760.0	34.38	33.55	33.63	40.22	21.74	7.519E7	41.72	2.57E9			0.82	
dhr	1.41	51.69	52.45	-0.74	3766996.0	52.5	51.36	52.43	56.09	35.24			3.433E10	0.15	0.08	2.82	
lxrx	4.09	1.78	1.72	0.07	950269.0	1.79	1.71	1.71	2.3	1.22	3.3766E8		6.0103E8			-0.31	
anr	1.42	47.06	46.33	0.66	2824258.0	47.16	45.95	46.4	68.05	34.53						1.08	
peb	0.24	20.4	20.45	-0.05	184912.0	20.5	20.35	20.45	22.47	16.85	5.0889E7		1.04E9	2.35	0.48	-0.34	
twin	0.07	40.35	40.42	-0.03	36657.0	40.49	39.11	40.38	41.7	11.22	1.136E7		4.5821E8	0.79	0.32	1.17	
brli	0.9	20.1	19.92	0.18	282108.0	20.12	19.75	19.92	25.99	18.02	2.794E7	17.48				1.15	
rad	2.96	1.31	1.35	-0.04	3944984.0	1.37	1.3	1.35	1.47	0.86	8.9023E8		1.17E9			-0.63	
ups	0.32	74.16	74.24	-0.24	2886687.0	74.67	73.96	74.4	77.0	62.6	9.8621E8	19.36	7.314E10	2.8	2.08	3.83	
kar	0.43	18.46	18.55	-0.08	71667.0	18.55	18.42	18.54	21.0	11.03	1.35898E8	24.95	2.51E9			0.74	
ter	3.16	14.69	14.26	0.45	3178353.0	14.73	14.14	14.24	19.19	8.84	1.85439E8		2.72E9			1.89	
ob	0.22	13.37	13.42	-0.03	45934.0	13.42	13.14	13.4	16.63	12.46	9.442E7	7.91	1.26E9		0.21	1.69	
mako	2.65	32.51	32.02	0.84	570903.0	32.54	31.21	31.67	35.9	9.28	4.0959E7		1.33E9			-1.06	
ddic	2.23	9.63	9.46	0.21	65649.0	9.78	9.41	9.42	12.35	7.62	2.0283E7				0.1	1.05	
cpa	0.4	67.72	67.33	0.27	93764.0	68.14	66.83	67.45	70.56	46.97			2.94E9	2.43	1.64	6.34	
qdel	1.13	15.73	15.91	-0.18	47189.0	16.11	15.69	15.91	16.3	10.75	3.317E7	314.6	5.2169000000000006E8			0.04	
ivac	0.4	9.91	9.96	-0.04	28711.0	9.97	9.76	9.95	15.39	8.97	2.2838E7					0.86	
pnm	0.3	16.68	16.76	-0.05	532090.0	16.78	16.6	16.73	17.14	11.01	8.667E7		1.45E9	3.0	0.5	-0.22	
shoo	0.76	40.22	40.63	-0.31	293304.0	40.63	40.08	40.53	41.42	22.33	4.232E7	21.86	1.7E9			1.84	
twx	1.05	36.7	36.38	0.38	3691275.0	36.75	36.28	36.32	38.62	29.21	1.0700000000000001E9	16.53	3.93E10	2.59	0.94	2.22	
els	0.37	68.03	67.95	0.25	141146.0	68.35	67.66	67.78	68.44	49.51	3.727E7	50.02		2.21	1.5	1.36	
get	1.84	31.49	31.91	-0.59	450985.0	31.95	31.31	32.08	38.22	25.39	4.836E7		1.52E9			-1.88	
ma	1.17	314.14	310.71	3.62	679199.0	315.71	309.02	310.52	322.28	191.0	1.20665E8	21.11	3.997E10	0.19	0.6	14.87	
lci	0.2	4.91	4.9	0.01	69358.0	4.95	4.86	4.9	7.0	3.66	2.839E7	28.88	1.3939E8			0.17	
tnc	0.19	42.57	42.64	-0.08	46696.0	42.84	42.22	42.65	43.84	28.11	1.914E7	22.52		1.59	0.68	1.89	
pby		11.36	11.35		363388.0	11.46	11.15	11.36	15.96	8.82	5.267E7		5.9837E8	1.06	0.12	0.7	
oxy	0.19	107.88	108.0	-0.2	1910000.0	108.23	106.69	108.08	117.89	72.13	8.12875E8		8.769E10	1.7	1.84	6.15	
dri	0.5	53.28	53.63	-0.27		53.81	53.2	53.55	53.81	39.36	1.3643E8			3.21	1.72	3.4	
phh	1.18	19.23	19.42	-0.23	380382.0	19.42	19.15	19.46	25.55	18.25	5.626E7	12.41	1.08E9			1.59	
ajg	0.4	27.55	27.67	-0.11	334340.0	27.69	27.36	27.66	31.92	24.3				4.77	1.32	1.51	
hbcp	2.93	14.25	14.44	-0.43	18789.0	14.62	14.25	14.68	16.19	12.54	8084000.0	22.98				0.62	
dxpe	0.73	27.56	27.24	0.2	81150.0	27.81	27.24	27.36	27.81	17.57	1.411E7	18.67				1.48	
vz	2.21	36.74	37.01	-0.83	3.007E7	37.17	36.43	37.57	38.95	26.69		29.39		5.19	1.95	1.25	
mnro	0.25	35.92	35.78	0.09	328476.0	36.4	35.78	35.83	38.48	24.8			1.1E9	0.89	0.32	1.5	
gti	2.1	22.37	21.87	0.46	1151558.0	22.46	21.71	21.91	23.89	13.87	1.45156E8		3.25E9			1.31	
vcbi	0.16	6.32	6.37	-0.01	216456.0	6.37	6.26	6.33	6.9	4.62	2.964E7	9.43				0.67	
comv	0.66	2.99	3.04	-0.02	142182.0	3.04	2.82	3.01	10.43	2.5	2.5323E7					-1.25	
azo	0.11	295.85	296.44	0.33	172464.0	296.61	295.12	295.52	302.0	203.05	4.156E7	16.38	1.23E10			18.06	
gef	0.11	64.19	64.21	0.07	56680.0	64.42	63.67	64.12	67.57	54.9	2.4839E7	16.05	3.03E9	2.62	1.68	4.95	
usph	2.03	23.66	24.14	-0.49	19387.0	24.15	23.58	24.15	26.23	15.3	1.1802E7	17.4	2.7924E8	1.33	0.32	1.36	
cstr	7.5	54.23	53.36	-4.4	4210000.0	56.3	52.75	58.63	67.56	37.8	3.136E7	24.76	1.7E9			2.19	
amt	0.47	53.32	52.96	0.25	1429001.0	53.32	52.79	53.07	56.84	44.27	3.96631E8	58.59				0.91	
cmtl	0.94	28.59	28.9	-0.27	180662.0	28.9	28.35	28.86	32.0	20.19	2.604E7	12.88		3.5	1.0	2.22	
ren		17.4	17.41		196333.0	17.5	17.25	17.4	18.55	10.48	6.097E7		1.06E9			-0.29	
abbc	0.77	10.37	10.45	-0.08	10369.0	10.45	10.21	10.45	13.23	8.9	2.023E7	27.29		2.3	0.24	0.39	
mdso	0.63	21.98	22.15	-0.14	193526.0	22.3	21.75	22.12	27.39	14.91	2.427E7					1.0	
crmt	0.68	37.18	37.06	0.25	19803.0	37.36	36.71	36.93	37.5	21.27	1.022E7	14.64	3.7987E8			2.54	
acas	1.29	10.21	10.11	0.13	2505367.0	10.23	9.99	10.08	10.85	4.79	3.5267E8		3.6E9			3.56	
meru	1.79	10.45	10.26	-0.19	166030.0	10.63	10.26	10.64	27.33	10.01	1.7347E7		1.8127E8			-0.26	
idxx	6.74	86.97	81.23	5.49	1123818.0	87.29	80.98	81.48	87.29	54.8	5.734E7	35.64	4.99E9			2.44	
jll	0.79	93.93	92.97	0.74	132990.0	94.5	92.54	93.19	107.84	65.13	4.2927E7	26.84	4.0300000000000005E9	0.32	0.3	3.5	
anth	1.46	8.1	8.22	-0.12	20202.0	8.22	8.01	8.22	9.08	2.82	3.964E7					-1.68	
etm	1.87	8.7	8.54	0.16	52819.0	8.74	8.43	8.54	13.63	4.97	3.84E7					1.15	
ccmp	2.35	45.35	44.32	1.04	207976.0	45.63	43.63	44.31	52.69	29.6	2.3515E7	19.21	1.04E9			2.36	
tho	0.37	26.93	26.82	0.1	229737.0	27.27	26.61	26.83	39.12	22.5	5.584E7	13.2	1.5E9	1.49	0.4	2.05	
aria	2.77	13.34	13.0	0.36	2480794.0	13.5	12.94	12.98	13.5	3.07	1.31994E8		1.76E9			0.65	
dy	2.16	18.16	18.55	-0.4	344699.0	18.55	18.06	18.56	18.78	7.3	3.405E7					0.2	
stba	0.96	17.61	17.78	-0.17	61837.0	17.78	17.38	17.78	23.91	16.64	2.8056E7	15.18		3.37	0.6	1.16	
chrs	0.22	4.5	4.5	0.01	406648.0	4.56	4.42	4.49	4.93	2.84	1.1625E8		5.2311E8			-0.28	
hpy	1.61	20.21	20.5	-0.33	133333.0	20.5	20.04	20.54	22.06	13.48	3.8544E7	28.07		0.78	0.16	0.71	
hma	1.15	10.28	10.46	-0.12	9288943.0	10.46	10.12	10.4	11.74	6.13	2.5317E8		2.6E9			0.63	
alth	1.64	1.8	1.82	-0.03	5143073.0	1.86	1.73	1.83	5.97	1.73	1.05614E8		1.901E8			-0.68	
ipcm	1.25	51.94	51.39	0.64	153777.0	52.0	50.78	51.3	52.25	22.66	1.6370000000000002E7					1.58	
epl	0.97	17.67	17.5	0.17	155338.0	17.9	17.45	17.5	18.56	9.61	4.0192E7					-0.7	
nwe	1.24	33.58	34.02	-0.42	151832.0	34.02	33.5	34.0	34.11	27.01	3.626E7	14.99	1.22E9	4.24	1.44	2.24	
tpgi		3.29	3.28		28112.0	3.32	3.24	3.29	4.6	2.76	3.7095E7		1.2204E8			-0.35	
t	0.17	30.33	30.04	0.05	2.499E7	30.36	29.82	30.28	31.94	25.36	5.922E9	8.65		5.68	1.72	3.51	
untd	0.32	6.25	6.29	-0.02	370912.0	6.31	6.21	6.27	7.5	4.75	8.8638E7	10.59	5.5399E8	6.4	0.4	0.59	
sf	1.33	40.37	39.84	0.53	819599.0	40.44	39.62	39.84	49.94	28.72	5.372E7		2.1400000000000002E9			-0.1	
opxt	1.79	2.27	2.23	0.04	523083.0	2.29	2.2	2.23	4.45	1.29	9.028E7		2.0494E8			-0.36	
nafc	0.32	37.45	37.45	0.12	63599.0	37.75	37.33		44.94	33.38					0.18		
fcel	0.0	1.46	1.46	0.0	969750.0	1.48	1.45	1.46	2.41	0.98	1.2698E8		1.8538E8			-0.6	
vci	0.16	31.6	31.72	-0.05	487571.0	31.95	31.44	31.65	37.44	25.7	4.9135E7		1.55E9			1.61	
pike	0.63	9.44	9.5	-0.06	73076.0	9.73	9.41	9.5	10.49	6.66	3.3652E7		3.1767E8			-0.14	
dis	0.22	40.65	40.78	-0.09	7620000.0	40.97	40.54	40.74	44.34	31.55	1.890154E9	17.99	7.683E10	0.98	0.4	2.27	
tg	1.03	20.14	20.29	-0.21	35011.0	20.47	20.11	20.35	23.2	16.09	3.2E7			0.88	0.18	0.87	
vphm	1.7	19.71	19.44	0.33	306844.0	19.85	19.24	19.38	22.16	10.69	7.5965E7		1.5E9			1.62	
ba		72.65	73.19	-0.24		73.19	72.24	72.89	80.65	59.48	7.38275E8			2.3	1.68	4.52	
wern	0.24	25.17	25.15	0.06	545133.0	25.4	25.06	25.11	27.17	19.67	7.28E7	19.98	1.83E9	0.8	0.2	1.26	
icog																	
avy	0.72	33.69	33.42	0.24	1080276.0	33.725	33.28	33.45	43.52	31.66	1.06875E8	11.7		2.99	1.0	2.86	
lea	0.47	52.48	52.33	-0.25	582186.0	53.2	52.27	52.73	57.03	35.42	1.0514E8	10.75	5.52E9	0.95	0.5	4.88	
lll	0.85	82.9	83.17	-0.71	601459.0	83.44	82.02	83.61	88.55	66.11	1.06128E8	10.06	8.8E9	2.15	1.8	8.25	
newp	0.12	17.14	17.16	0.02	138888.0	17.19	16.9	17.12	19.84	9.25	3.746E7					1.49	
kbh	0.95	9.42	9.56	-0.09	1980992.0	9.56	9.35	9.51	16.11	8.95	7.7005E7		7.2539E8	2.63	0.25	-2.17	
umh	0.71	11.2	11.28	0.08	13832.0	11.33	11.19		11.93	9.19	1.4181E7		1.5883E8		0.18	0.52	
c	0.15	40.26	40.27	-0.06	2.401133E7	40.5	39.84	40.32	51.5	36.3	2.92E9			0.1	0.04		
cec	0.36	41.6	41.84	-0.15	94652.0	41.92	41.42	41.75	42.75	30.44	1.985E7			1.92	0.8	2.67	
hckt	0.41	4.94	4.96	0.02	199274.0	4.96	4.93	4.92	5.24	2.79	4.086E7	14.11	2.0184E8			0.35	
blk	0.11	187.92	188.21	0.2	572422.0	189.99	187.5	187.72	209.77	139.16	1.9229E8			2.93	5.5	12.27	
hhgp	1.84	5.88	5.98	0.11	40893.0	6.02	5.88		7.11	2.93						-0.02	
kss	0.18	57.0	57.07	0.1	1819151.0	57.1	56.34	56.9	58.0	44.07	2.8109E8		1.602E10	1.76	1.0	3.76	
ceco	1.45	24.42	23.95	0.35	387946.0	24.59	23.82	24.07	27.67	16.36	7.76E7		1.89E9			2.21	
crs	0.14	57.73	57.69	0.08	218348.0	58.03	56.99	57.65	59.04	30.17	4.402E7	50.2	2.54E9	1.25	0.72	1.14	
urs	0.09	44.26	44.14	0.04	337359.0	44.47	43.98	44.22	48.32	35.09	7.8634E7	14.01	3.48E9			3.16	
tiny	1.28	5.42	5.49	-0.07	54506.0	5.49	5.3	5.49	6.3	3.7	3.1001E7	21.68	1.6802E8			0.25	
kwk	0.28	14.41	14.34	0.04	1755835.0	14.55	14.25	14.37	15.98	11.16	1.7111E8		2.47E9			1.97	
atvi	0.59	11.99	11.9	0.07	6099460.0	12.05	11.86	11.92	12.65	10.4	1.14E9		1.372E10	1.38	0.17	0.44	
adbe	0.54	29.72	29.69	0.16	5269892.0	29.85	29.1	29.56	35.99	25.45	4.9387E8		1.468E10			1.88	
akam	3.26	30.37	29.37	0.96	4509243.0	30.57	29.31	29.41	54.65	28.69	1.8671E8	32.31	5.67E9			0.95	
alxn	3.89	58.98	57.0	2.21	2180000.0	59.07	56.78	56.77	59.07	25.5	1.8384E8		1.084E10			0.55	
altr	0.02	42.3	42.37	-0.01	4680000.0	42.79	41.83	42.31	49.59	24.48	3.2222E8		1.363E10	0.76	0.08	2.74	
amzn	1.55	216.52	213.86	3.31	3541197.0	217.95	211.11	213.21	220.2	105.8	4.5204E8	93.73	9.788E10			2.31	
amgn	0.48	55.22	55.35		3080000.0	55.46	55.01	55.49	61.53	50.26	9.2973E8	11.48				4.81	
apol	1.26	51.93	51.34	0.65	1182807.0	51.96	50.99	51.29	53.61	33.75	1.3776E8					2.95	
aapl	1.55	393.3	388.32	6.01	1.833E7	395.05	387.75	387.29	396.27	235.56		15.56	3.6455E11			25.26	
amat	1.74	13.15	12.96	0.22	1.7416261E7	13.21	12.89	12.93	16.93	10.27	1.32E9	11.05	1.733E10	2.48	0.32	1.19	
adsk	2.4	37.07	37.08	0.87	2730000.0	37.59	36.5	36.2	46.15	26.63	2.3095E8	35.99	8.560000000000001E9			1.03	
adp	0.14	53.23	53.26	0.08	1655208.0	53.43	52.91		55.12	38.41	4.99705E8	21.73	2.66E10	2.71	1.44	2.45	
bidu	2.55	154.0	151.28	3.83	5590000.0	155.0	151.0	150.17	156.04	72.3	3.4881E8		5.372E10			1.83	
bbby	0.37	59.7	59.49	0.22	1011393.0	59.89	59.37	59.48	60.55	35.55	2.4926E8	18.2				3.28	
biib	0.06	105.56	105.54	-0.06	1142906.0	106.05	104.89	105.62	109.63	52.4	2.4163E8		2.551E10			4.36	
bmc	0.55	52.38	52.39	0.28	1200196.0	52.77	52.09	52.1	56.55	34.47	1.7593E8	20.95				2.5	
brcm	1.85	35.47	34.97	0.65	7790000.0	35.56	34.76	34.83	47.39	29.9	4.826E8	17.82		1.03	0.36	1.98	
chrw	0.8	80.43	79.71	0.64	864605.0	80.97	79.67		82.61	58.19	1.65564E8	33.24	1.332E10	1.45	1.16	2.42	
ca	0.6	22.77	22.66	0.14	4270000.0	22.84	22.53	22.64	25.68	17.7	5.0738E8			0.88	0.2	1.66	
celg	0.51	61.18	61.66	-0.31	2290000.0	61.73	61.08		63.46	48.92	4.628E8	31.86	2.831E10			1.92	
cern	1.78	65.05	64.12	1.14	1101555.0	65.07	63.87	63.92	65.07	36.22	1.68212E8	44.25	1.094E10			1.47	
chkp	1.08	59.82	59.28	0.64	1310000.0	60.05	59.14	59.18	61.46	33.15						2.35	
csco	0.67	16.46	16.44	0.11	4.8186375E7	16.5	16.25	16.35	26.0	14.78	5.500185E9		9.053E10		0.06	1.27	
ctxs	1.89	75.27	73.98	1.39	1520000.0	75.8	73.98	73.88	88.49	45.15	1.88E8		1.415E10			1.59	
ctsh	0.44	73.77	73.57	0.32	1319904.0	74.16	73.22	73.45	83.48	53.16	3.0425E8	28.93	2.244E10			2.55	
cmcsa	1.1	24.85	24.57	0.27	1.2806833E7	24.9	24.44	24.58	27.16	16.76	2.084368E9	18.83		1.83	0.45	1.32	
cost	0.18	81.67	81.67	0.15	925950.0	81.83	81.15	81.52	83.95	53.84	4.3781E8		3.576E10	1.18	0.96	3.2	
ctrp	1.59	44.78	43.95	0.7	1191183.0	45.0	43.51	44.08	53.16	36.64	1.43564E8					1.11	
dell	0.41	17.04	17.16	-0.07		17.26	16.98	17.11	17.6	11.34	1.89E9	10.2				1.67	
xray	0.04	39.54	39.64	-0.01	564602.0	39.67	39.22	39.56	40.16	27.76	1.40775E8		5.57E9	0.51	0.2	1.89	
dtv	0.66	52.35	52.11	0.34	5040000.0	52.43	51.83	52.01	53.4	35.87	7.67785E8	20.45	4.019E10			2.72	
dltr	0.07	68.76	69.45	0.05	615059.0	69.45	68.6	68.71	70.54	40.6	1.2228E8	19.93	8.41E9			3.45	
ebay	0.19	33.5	33.49	0.06	9819784.0	33.65	33.12	33.44	35.35	20.48	1.3E9	25.19				1.32	
erts	0.17	23.93	23.94	0.04	7359375.0	24.05	23.89	23.89	25.05	14.67	3.32448E8		7.96E9			-0.84	
expe	0.02	30.05	30.1	0.0	3570000.0	30.4	29.87	30.05	31.01	19.61	2.7338E8	20.58	8.210000000000001E9	0.93	0.28	1.46	
expd	0.45	50.52	50.17	0.23	920751.0	50.78	49.835		57.15	39.21	2.1237E8	29.2	1.073E10	0.99	0.5	1.73	
esrx	3.51	57.3	55.02	1.94	1.8096111E7	57.47	55.0	55.36	60.89	41.55		24.7					
ffiv	2.36	101.2	99.76	2.33	4071248.0	102.45	99.57	98.87	145.76	79.4	8.1111E7		8.210000000000001E9			2.72	
fast	0.64	34.25	34.43	-0.22	1131941.0	34.54	34.1	34.47	36.8	22.32		32.01	1.011E10		0.13	1.06	
fslr	0.86	124.12	125.39	-1.07	1064634.0	126.14	123.87	125.2	175.45	111.4	8.6161E7	17.71	1.069E10			7.01	
fisv	0.18	62.16	61.9	0.11	697890.0	62.34	61.72	62.05	65.41	45.61	1.4361E8		8.93E9			3.24	
flex	9.36	7.01	6.44	0.6	1.2118327E7	7.11	6.34	6.41	8.5	4.86		9.35				0.75	
flir	0.3	28.81	27.48	0.08	2163450.0	29.12	27.48	28.73	37.29	24.0	1.59683E8	19.08	4.6E9	0.84	0.24	1.51	
grmn	0.03	32.72	32.66	0.01	647383.0	33.0	32.43	32.71	36.42	26.11	2.08077E8		6.35E9	4.89	1.6	3.27	
gild	0.54	43.21	43.02	0.23	6198618.0	43.49	42.81	42.98	43.49	31.76	7.8705E8		3.4009999999999996E10			3.19	
goog	1.85	618.23	605.39	11.24	3510000.0	619.5	604.27	606.99	642.96	447.65	2.52993E8		1.9923E11			27.73	
gmcr	0.35	92.71	93.14	0.33	1139426.0	93.22	91.5	93.04	96.91	26.14		117.35	1.317E10			0.79	
hpq	1.3	36.7	36.42	0.47	1.592E7	37.12	36.36	36.23	49.39	33.95	2.074156E9	9.02	7.612E10	1.32	0.48	4.07	
hsic	0.33	72.89	72.68	-0.24	198008.0	73.27	72.48	73.13	74.98	50.97	9.2252E7		6.72E9			3.66	
ilmn	0.46	74.47	74.2	0.34	917600.0	74.61	73.3	74.13	79.4	41.15	1.2313E8		9.17E9			0.86	
infy	1.53	63.62	63.06	0.96	1603374.0	64.0	63.06	62.66	77.92	56.73	5.7135E8	23.39	3.635E10			2.72	
intc	1.4	23.13	22.94	0.32	4.482E7	23.25	22.78	22.81	23.96	17.6	5.3E9		1.2264E11		0.21	2.18	
intu	1.07	47.96	47.44	0.51	3170000.0	48.01	47.31	47.45	56.46	37.5	3.04E8		1.458E10			2.05	
isrg	2.09	405.1	407.1	-8.63	810183.0	409.45	401.33		415.19	246.05			1.592E10			10.66	
joyg	0.47	99.85	98.0	-0.47	1880000.0	101.0	97.56	100.32	103.44	53.13	1.0504E8	19.97	1.049E10	0.7	0.7	5.0	
klac	2.62	44.11	42.97	1.13	2114074.0	44.41	42.94	42.99	51.83	27.75	1.67903E8	11.34	7.41E9	2.33	1.0	3.89	
lrcx	2.6	44.26	43.03	1.12	1700000.0	44.45	42.97	43.14	59.1	35.39	1.2449E8	7.53	5.51E9			5.88	
linta	1.01	16.97	16.81	0.17	2328418.0	17.03	16.65	16.8	18.65	10.1	5.72144E8	16.97	1.02E10			1.0	
